token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
naWp6xWo5zjkJGK1jSix7TeM8akWQFdvmDnv1n7pump,6.730757415539614e-06,4.323964630012275e-07,79,890066617803,1982694,59,1.4670014985166788e-07,1824479,1.4670014985166788e-07,1824479,1596
3GNXoVat7EKG5ZSLSvEjbVAKGdECn6Riqr1myNBnKtrR,4.520059134273102e-08,1.029932306097035e-08,26,14277906970,6838526343,26,5.6000331111111105e-09,5020000000,7.96945982711827e-09,6012846588,1270
GvTxcPmmBbriBuDch82dzxZk5bSmtibR2akjRHow9Rr4,1.0134319777202135e-07,2.9779488058726152e-08,159,407693927349,1415399,42,8.676401740022676e-09,1379943,8.676401740022676e-09,1379943,1597
Czs98dhjvvT7fP6gB8DoLCbpHfKSKeXpkWdQJjjLKFsi,4.5337542960743167e-07,4.8137900190917365e-09,1159,27058365434,2984969063,1159,1.5e-09,1500000000,4.5595518885688224e-09,2904977626,61
5AKfHZcDauSmHTVLxZWASmkG5HmdznnWLCQ8wKhdDFJZ,5.696780172499875e-07,1.301747782902366e-09,48,17989980000,804741,3,1.9219902354093894e-11,792884,7.101781991049209e-10,792884,1597
98U32C4hfZU2eAbQCnV7HKr87uRPsk1n1e5JY4D3pump,0.0004666691339789837,2.5321347953527797e-05,114,87478947860,20611161577,114,2.5321347953527797e-05,20611161577,2.5321347953527797e-05,20611161577,513
kLpdfidf8pBtdAsEyc5Sm2WSRsodbqibU54ARFFpump,0.0025040329327995,3.039553119977824e-05,45,274650873043,20409331,45,2.700055548135743e-05,20402759,2.700055548135743e-05,20402759,1598
CXoGQ41NoKordWNqx5di9H2wYgwBWDTQeNXnwKsFpump,0.0006909960366713428,3.062181898572344e-05,160,106722638401,22803093556,160,3.062181898572344e-05,22803093556,3.062181898572344e-05,22803093556,175
F3tK9zmiARh8iJ4zkKc49MoEFu5S8tExNokPaPUpump,4.371220807016909e-06,4.34302805653899e-06,270,830317922688,827645540985,270,3.682939583132011e-06,762000100000,4.322508024894559e-06,825685540985,47
FfGqbekUWXvxzRtjzXbVgtiLoL6UXUKNpXYKvGBpump,5.784478998399407e-06,2.0152718421851294e-06,56,756805837339,2628144,47,1.7986276457391784e-06,2518379,1.7986276457391784e-06,2518379,1088
