token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
2ob874iPApH1JWzBBmcVSxEs7HYTuZAEW4DKpiAbuTRQ,0.0005172122695955118,0.00024385881701503756,14,91966439513,63603249780,14,0.000159728706675801,51376636397,0.000159728706675801,51376636397,210
7YzJYfRoUqfYXKaQiiZ18WT9UV2fxcSKpkGp9anApump,0.00045875868924495243,4.585331996382817e-05,6,86606359408,27996461628,6,4.153785785719131e-05,26625530651,4.153785785719131e-05,26625530651,110
9fqAVuVUAWVyBZCT3NgxARsc7Rg2VuCW9L2LrKgRSi6,0.14304903518847986,0.12413678309326855,301,321378965476,300816892850,301,0.027052516196786832,137878064287,0.10647322220271935,277716182961,77
5nkVYKUq5vNJbyFQy9mNSmFRUErCxogkmni5bufiYZ2r,0.7571975138111142,4.639615915462176e-07,442,280826058035,228232813,442,4.639615915462176e-07,228232813,4.639615915462176e-07,228232813,165
ARg7eYNC2rMUdqc75TYJFKizNHvckTqd1VweYL8yPbNC,6.915735087959627e-08,1.7732240011878876e-08,7,20391990000,4808256,7,1.00864209125521e-09,4760374,1.00864209125521e-09,4760374,1471
z18PR7FSjTubdM6YknH7TvaTErhG5YAEXt5RWoJpump,4.0809492064958185e-06,4.0809492064958185e-06,127,794245868966,794245868966,127,3.6104427223302085e-06,747000300000,,,487
9VdQ7YrEwfGWvv3J883amEbYmCQw8dD5nGX5xvudpump,0.0005735620897828874,0.00018897499511146145,789,98317273129,57595263260,789,0.00011599165052245883,43681031791,0.00011931051662777938,45220884070,30
CabeSEYuHkoKzkH4sW96sB2FHAubzMmYTn376asu3zdJ,1.3941510393903365e-07,5.473026253325286e-09,6,25894632800,2702027,6,5.215881585942708e-09,2647461,5.215881585942708e-09,2647461,573
CazV2qkNt7R2zwGUF5MqV8PsxHNELV8E6M9KyHmMpump,0.29087113911087303,1.999169918527786e-07,445,174018321524,147673096,445,1.5895830812717495e-07,131608450,1.5895830812717495e-07,131608450,1674
H25UiHHkX1agm15G7AMCfpGWjjugapwRvzY3TFtRtyo,2.557667180845514e-07,1.5121820695109123e-09,28,11199000000,603831,3,4.076854821353448e-12,402579,2.8993996111462894e-10,402579,1522
4aFaEzfoCezDeoaYxELKFnBv6k8qVvdxFpYAAocfmgKq,1.3433076864372009,6.826138519860748e-08,255,1272550318891,290417986,255,1.2e-08,120000000,2.59074859800821e-08,178632229,775
Fxprs18UwdqD79m2vngNzEweAtYxv2a3foxGdm6b2CP5,0.0039685150043704855,0.000260842305948527,464,271147603156,55240698,438,9.526844380899241e-06,55239291,9.526844380899241e-06,55239291,839
yTA74dv1qQx28DKF9BfegeRw8f87q7mFUFU9ytkpump,0.0024381171202534804,3.2623376241945455e-07,48,747169000000,608930,19,5.2482024860264835e-09,88568,5.2482024860264835e-09,88568,1390
9MZvSanEqzSB6uKx27CuoMdEmPYuSkkgUqQHfmaTcZDt,0.00010589236962811244,8.506178319085913e-05,136,91309122919,19512913,136,1.0068131678974238e-06,19509358,1.0068131678974238e-06,19509358,1446
2Nrmb4AoPac5VvNTmxrEhQtxwawBhkkipDsYBuSnpump,0.0009534100890413092,2.622452379886285e-05,7,124900847038,21099004861,7,2.622452379886285e-05,21099004861,2.622452379886285e-05,21099004861,190
