token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
EWx3xDR76YfxF3VHwTLgwU9WYrwANw3yxX5vvk8Kpump,0.0004982663296334933,0.0004348504485742483,161,90331068479,84394517540,161,0.00033409803143563774,73941693814,0.0004348504485742483,84394517540,444
59LRnVjiLnFG1DzKApCKbjhEJmUYaqkjP5MguxdeX7Xg,1.990357020738944e-05,1.6243339078579332e-05,810,914907242613,826613926250,810,4.413499223621037e-06,425010000000,1.624333906639597e-05,826613925938,52
5xLS2huNGF6bYJbSxL9kMZNZc3m1WmPcm8JaVbJ4eJ18,0.0013104160846179695,0.0009709513687539152,159,100478358715,22124668,105,1.3971672885734505e-05,21724667,1.3971672885734505e-05,21724667,1743
AATX9vixUCMf6EodK6nAuKSmivKYxnm8DdNqUHTUpump,0.056872277009025356,0.029989691146756835,1986,410452273560,200002,211,3.0101881517835313e-12,2,3.0101881517835313e-12,2,2368
tp2sYSA5ztNxepCXuzGQtN4w7ab364TYWqcCVDfpump,4.517179546996272e-06,4.517179546996272e-06,193,853909068166,853909068166,193,3.7699371677138713e-06,780000000000,,,44
5tqQEeKfmtKG2V3zKoFGexaNoF7crrpEbjiYUuKGtdgG,1.8396199996331436e-07,1.8396199996331436e-07,283,528982101267,528982101267,283,1.0526315789473685e-07,400000000000,,,55
EXZg36Y4Z6ciRaA4LFypQHQA5L88N5GVGoqVMJq2EcxB,0.005101227197469182,0.004921458979324709,1554,455500487276,447428163817,1554,0.00016,80000000000,0.004913574802570971,447057935967,11
oaezSrN5Qa5WJB6F8ByVA11ZZ3iBRSDynYrqHPZpump,4.2816238748895385e-06,4.263184896048425e-06,288,813409975231,811658784424,288,3.605616227652669e-06,746001000000,4.263184896048425e-06,811658784424,49
66BARHLXUvic1797zHnccS1dTVp5coSRiPcfHKk13mng,8.884070438407014e-08,8.884070438407014e-08,234,505978196752,505978196752,234,5.5555597170146676e-08,400000150000,,,64
7sqPDXgrzWTNWGEpou1UMPR7LuHKgABAMaoebbp12515,5.2551900235240444e-05,2.3480608750616283e-05,105,19878766380,731677,95,8.902810987682202e-08,705596,8.902810987682202e-08,705596,2809
7VuoNAS1DNBNKpTKQCEcC6GCcvHiXWV3K5wf6ok1yAiP,1.5979872130972335e-07,1.5979872130972335e-07,223,886485156106,886485156106,223,1.321311475409836e-07,806000000000,,,53
8YHyUHd6qXpwWxjxAVWVoa4dR7Zc6RSGrVBxDSjXxKke,1.5549806711225353e-07,3.449811468797258e-08,1507,75761827464,10212616,170,1.4e-09,10187369,8.09708377049732e-09,10187369,711
2SboLfEjaHxeSwLYn64no8nejjhiPGAiPodcuWGRpump,0.0006017244871439896,6.399424141417306e-05,763,100300255498,32741477787,763,5.9481288917221854e-05,31506782149,6.399424141417306e-05,32741477787,84
7pwHmNdX1TA2CW6hNqBJTcWfWRhrdDDk19Lj1NHsj6rv,7.3241776353519535e-09,2.105997384727511e-09,7,19158100000,5565983,7,5e-10,5394788,9.134482071625541e-10,5394788,1403
8EH63rtQBW3FqW5HSHdPsuyhk4HBqdbr434Kx84bRqF1,0.2861365457488653,0.28448569409637203,1518,536600592429,535058952406,1518,1e-08,100000000,0.28392099170921786,534526979911,40
6ZHCLrYJDPQ9LuYjQQu9wCb8EdNA5H4abHxZYFeRgiYL,2.9043301319526045e-05,1.8803837539429188e-05,110,15129459302,979852,97,1.4780035545039032e-07,969841,1.4780035545039032e-07,969841,2605
8EqzLuJUe9VNkqA6QHiDfkFFwxKPW5ATsfsYT7PLhfQF,0.0001233824645020276,0.00010639468534356006,134,110491411069,26232718,134,1.882993586847919e-06,26206459,1.882993586847919e-06,26206459,2758
C7U88eXTqHRzR22T8Dz3H8yrTW57gowgEo1Em9pkpump,0.0004889395367441073,3.08357408126505e-05,28,89421423594,22876920588,28,2.2718874272121012e-05,19614807638,2.2718874272121012e-05,19614807638,136
6wTdAk9oxY3ruo48vcJnEZz58isRoiNrQehriUyfpump,0.00040637016821452377,2.8394654886564133e-05,3,81505359376,21748072368,3,2.8270545093461595e-05,21698042376,2.8270545093461595e-05,21698042376,419
HViaZyWdJA68NFUtehuTL77LZZsw78QhmrHrsNPSpump,0.03507893290065654,2.6204364125245728e-05,1541,408348058137,8644,235,6.568423087192195e-12,3,6.545092620385831e-10,3,1519
CV7Z2KdRZVg8HpfjYcvkvgzMrjrtZ8UsZGwwuxgxpump,0.44419018385952574,1.9242372043557215e-07,1678,217761338645,146126250,1678,1.456857885785667e-07,127126250,1.456857885785667e-07,127126250,1628
1cjgVp9hMnracaDWCRPAnoEVvehKTwpbtZfkhbfpump,4.111376733410345e-06,4.111376733410345e-06,242,760661282081,760661282081,242,3.286621544231353e-06,680001000000,,,35
p2vMTgc2fJjfQWMYM8ACWMNwVeWY5xxu6fbuFJztrG6,1.5563045447850945e-06,2.3673689524943935e-07,104,48512482002,19125553609,104,1.4660467783524466e-07,15010000000,1.4660467783524466e-07,15046202659,64
29P665Yx3PnZNborb74LfcKs2mCGdytFpWmaMtL1pump,0.001299459008145993,2.403498472990415e-05,482,146343105442,20125152795,482,2.1373219682777232e-05,18966041149,2.1373219682777232e-05,18966041149,416
QXyaGcZY5MfRQHakZfPT1YRsS1kJR15ewR7YfgWpump,0.9631111209607223,4.1460260968978764e-07,618,317747781906,211559743,618,2.568561726138568e-07,166428833,2.568561726138568e-07,166428833,877
C9wFV5zbVCwTVjHgcwU6vGuS8DjzM9rVC592TJRoiCBp,0.0027041228627564203,3.9853286862380644e-11,237,1554113580271,190282111,237,1.1250000000001124e-11,100000000,1.1426818990782681e-11,101328707,487
JAWTMPYtUL61UGvWdAhtTUY5A2VVUZpw1XKv76SwpNQt,0.00012777994285998067,7.804289798491675e-05,141,112547648111,22359335,141,1.8344220605896573e-06,22359067,1.8344220605896573e-06,22359067,2436
TLW6EgdL7EqePCLjrXtY8Js5AfFdAAKvfyMV9q4pump,3.096112815676863e-05,8.280447540118626e-08,597,764251537696,865209,46,1.1377357113026982e-08,776232,8.280447540118626e-08,776232,1371
3aQB43jCmBLVDZdVyznfBcQEPAjGPqUX1U9WEstkV88u,1.6126997683452686e-07,1.6126997683452686e-07,202,889052291986,889052291986,202,1.3168326750000203e-07,803267832000,,,64
5Cii4BnsMNfmCGuJDEBsqVdBC8DAap9Rp1ge1ZZT7wJo,1.3741015812882753,1.2470967069535857,789,1661709464890,1583760318256,789,2e-08,200000000,1.2429653446595788,1581062790334,40
EM8iHtQbBJiNAx2fArpAB1r1fui9twUhaWVcH1mSgk7E,1.2765561508690192e-07,4.588110959088706e-09,10,80057754365,12818399,10,5e-10,12658064,6.856484355641821e-10,12658064,1779
