token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
Ex6FkGqnx3jow1UwrybWmmupVoc5htXnRv8BGcYLpump,0.0004244950193808356,0.0003664169015873929,5,83305359430,78099102663,5,7.026790307583849e-05,34127342324,7.026790307583849e-05,34127342324,208
EoDH3vC1r1PdP9pnHc5E8L3svaqkccsQxipNoJVNgfWE,2.6601220467599427e-07,5.43921182212972e-09,168,13705806022,2020576,168,5.801910826010593e-10,2007681,5.801910826010593e-10,2007681,1101
GzNMmZEPf4nR3KBPpDWE3qZ6sjcJaSPscADCnzRoY8dX,0.0005839230612092053,5.057697408925687e-06,186,9610580000,880083,10,4.106671492758793e-07,877834,5.352732108334056e-07,877834,1357
urEc8QCxr3UTBch85KxfY5pGHxnEXLatBCAaYuQvjnt,5.182701503112052e-06,5.105484570991801e-06,635,343835531898,341277392522,635,1.1111555004433334e-07,50001000000,4.990197690347718e-06,337397392522,150
Cg3fmxjrMHLQCAiszcccWwiGbdvzthXZP6d6Despump,4.808244396082935e-06,1.951042635619868e-06,76,657770176520,3184115,62,1.9337530048535252e-06,3174115,1.9337530048535252e-06,3174115,1844
J5XBb336f6Gh4R589REGLTcSssJgqM7z5GcVepi27jZp,0.5502059678440392,5.961957808497164e-07,65,239120318041,254617698,65,4.898382105555403e-07,230718291,4.898382105555403e-07,230718291,769
2DnXueiKe179BoH6wrxhqb3aigsd3VvEGMrgEDFwpump,0.011613010074823226,3.9186130329194894e-08,37,436500093393,1100,37,1.8761011025537968e-11,24,1.8761011025537968e-11,24,1548
BYgXaVoDYWBc1e1rpEqsGeDTSig8QQRLGJbT7c6SRedx,0.0007059115497343638,0.00034034532718905795,320,107672736646,75154531853,320,0.00020383229589263535,58115794301,0.00020383229589263535,58115794301,82
2BbCvKkCpDd7wynDZnh4Pn2YzBrFKwcYH5VNnvCRNn7M,3.1634278368258574e-09,1.89163058628845e-09,9,1227000000,642360,9,8.596514030034064e-10,642360,8.596514030034064e-10,642360,2853
EnAm7esMwwgyZPNkw5dZ3HWPQ2gCh6gkMUCtBn7R4KJM,7.240037204597588e-07,1.3994585501855484e-09,20,19137921620,852148221,20,6.995233338632399e-10,600697846,6.995233338632399e-10,600697846,351
4gH3rneBFwCaYtB11ejyNHYejrCac5K14RY5mfzDpump,199829.98458464173,0.0009907714364062955,2294,441345207015,88162,411,6.538866628530455e-13,2,6.538866628530455e-13,2,555
DJV6t1mKkxnKsridvhwAdwYncnzWq4aUiSubrZqTz9HP,0.0004844959509297506,1.891745749339741e-05,3,89005359100,17699153481,3,1.712053302384039e-05,16836247357,1.712053302384039e-05,16836247357,955
Z8QogWo17tMxk6omRdgpKBH8pMv6VCHqY8U1Awvpump,0.000424385085148841,6.881029242024967e-07,218,684421097680,1364078,34,1.2617809465226705e-08,773920,8.152371365401694e-08,773920,1715
7ZufJ5RtMoWNKK7eRWPRDFBybEg7iou6Dx637biZpump,0.0004308517544576783,0.0001759033452828121,13,83929835645,54895965632,13,4.9816499350919405e-05,29079126237,4.9816499350919405e-05,29079126237,88
2UB3dkzXbamxgzCMD57iW4JHvezWGyHn6mmuFUxykMDY,0.029071867398971673,0.029071867398971673,1288,1710074925284,1710074925284,1288,1.0000000000009999e-10,100000000,,,25
TsZwk3VEk42A6YGqs1XCcVmF5VxaPPbh6icBz3TwnTw,0.503507775274681,5.132685481171697e-07,697,230137517224,238290540,697,4.543911509399035e-07,224190540,4.543911509399035e-07,224190540,847
