token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
Gu8fjG2H7NybduA13HVQjW6aWedaEWg8QcLL1QRRQfEK,0.007752538358252175,1.5814341701575442e-06,3,81554928776,1181451757,3,1.3188321911656675e-06,1078590144,1.3188321911656675e-06,1078590144,348
5D83iRw7K4ZS1U3wX3hNuvitV8hQqRHswMQuNKgQpiK7,7.518580999575037e-05,7.518580999575037e-05,67,36185740633,7919060,52,1.9019780395524985e-05,7909046,,7909046,2685
9fqt8e8xh8mNjz9Fcd18MryB5DmpwvJoebLdDgZkwQiX,0.00025370384929170704,5.816920726035357e-05,86,67829890485,30930677,86,1.8138692887987496e-05,30926926,1.8709098737669506e-05,30926926,1423
4JutRFPx7fQFpZWFr4xqy3SgkyNWLrvkGb7jiL79oof2,0.0016648346983201352,1.4935570153733901e-05,53,17370296251,914459,9,1.4887754348646719e-05,914314,1.4887754348646719e-05,914314,1867
6RVMpYRVtQdsGHZgRSq7kp2CWRWA62NfXEa8Drm9pump,0.0008635931796846228,0.00032916600755917365,27,118869138781,73809829060,27,0.0002678837089338492,66505201112,0.0002678837089338492,66505201112,639
7a9Pzo7eJrUCmSPgNgvPP3yArMdk6y9nAksm69q7Hrcp,1.5371167073910582e-07,1.5371167073910582e-07,218,751381111311,751381111311,218,1.2592592592592592e-07,680000000000,,,55
8LfkoL36hBYE9ea5zhJfGgagUuD1ZRaN5FMTc9oKeiM3,-6.867288697406596e-07,-8.126078696441551e-07,107,25149132915,24437368599,130,-8.143517144995341e-07,-9411542522,-8.143517144995341e-07,24437368599,222
FZ1SZo7Ae8eFRSzVP5NVRzHfEgUKD6xEPxq7JSnKpump,0.0004224617445601689,0.0003782238144572308,3,83105359140,78675041864,3,0.00033637613189686446,74177392018,0.00033637613189686446,74177392018,1049
BMhVgVKq56AmnqWi3Yf5haG26AddoCVQky4ZXCJbqQ7A,5.735797872855585e-07,2.0150852701006372e-07,90,94474226611,56079564520,90,1.9230288070394064e-07,54782039768,1.9230288070394064e-07,54782039768,490
9MvVAdXDgU2jY3VHnZZ7AXnh5tEvKNcxExUaPrwpump,5.051096205506476e-06,4.162174740229427e-08,84,686640824062,1172074,58,1.2851016798466415e-08,1146688,1.2851016798466415e-08,1146688,2359
