token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
4KzhSBd3VHrVKnPciHokjk7fM7a3uQt8tcxFqDdWpump,0.003983799796507983,0.0008573822659939463,220,256184321872,119434925923,220,0.0003818528712276462,79005359057,0.0007773858289442234,113689816914,161
EjJvmPAGsJRBZpifSAzT9gZ3fvUgiEDpYFMxkqjTpump,0.0006491447650227029,5.7082876322105674e-05,148,103395344700,31145300363,148,5.095893701218827e-05,29424401483,5.095893701218827e-05,29424401483,209
GAz1RQkJjoM3DrJKU4JwzdChdCPEd7H8u59z58wLpump,0.0006618754317219933,2.338972497822647e-05,54,104188974406,19716846991,54,2.097323078954657e-05,18669272233,2.097323078954657e-05,18669272233,554
6sxxUtbZoSToJbUpj1YpihbDoi5JS8nCRWqiXDd4pump,0.0007739173908252056,2.3298960362071557e-05,43,112534692987,19636367149,43,2.3298960362071557e-05,19636367149,2.3298960362071557e-05,19636367149,906
CRnsmo3bfXFSxhj3rdFmHbfpuaURLBWqZVvQ6woSpump,0.0005066780767223022,1.9652800534432554e-05,3,91022128582,17989554470,3,1.7154051546981624e-05,16799549734,1.7154051546981624e-05,16799549734,482
F4kJrkZNAi1eadKCCh3kVTee8cHWvVTN2iG4EfaMpump,0.0012452163876839116,4.273747588883491e-05,83,142940343133,27302170668,83,4.273747588883491e-05,27302170668,4.273747588883491e-05,27302170668,225
3VmT5VuNhCzRDhFR59Tvt1YkLoeSCRzt1kXmEhHKnhqB,0.0424794605184884,0.0011450773590295808,2346,351851618438,45979,155,5.43928814371815e-13,1,5.43928814371815e-13,1,1203
B5n8fjk5BDX9XzEFVi1diXf6TM4FEbfrCy1QZikDpump,0.0004381292806147229,2.445315426501997e-05,232,85002956103,20201356748,232,2.445315426501997e-05,20201356748,2.445315426501997e-05,20201356748,374
EU76bzoa5zeJtXNu5W5s5hf3dfVHhwCcK1Hf8oWqpump,0.0008892536243454286,3.0562531788914394e-05,690,121687074502,22736871137,690,2.9723676032546637e-05,22422241393,2.9723676032546637e-05,22422241393,319
T2Z3E4sh68BtghcCjBkQ9NAczPyk3iW5kQPTCgbpump,4.918006326608572e-06,5.40194799899944e-07,119,716771122931,2913122,96,1.2409463640551787e-07,2742099,1.2409463640551787e-07,2742099,1116
7r1FEKN95VkSgXLKf5bmqxDTQNd3uvm7i43tzckj8eBe,0.00021670887878336896,0.00013967991245969155,71,29529279729,24303120220,71,6.25e-06,5000000000,4.559450750499036e-05,13723443063,349
8VK36JEPYAGsBAEyJ1AbDzzJjheKERpjBUDcRebdvS1x,0.0031696812689096117,0.0031696812689096117,996,1683442134455,1683442134455,996,1.1250000000001124e-11,100000000,,,95
C95agjv1zPnjBo2qY33RL1AmspNvov5XLjTBrvVWpump,0.0014449292155466714,1.9388184362343186e-05,145,154092904757,17985635364,145,1.9388184362343186e-05,17985635364,1.9388184362343186e-05,17985635364,962
2hTSCecMHn2c2peBKyMcp266d1LvDbXrk4Fa8cPmHzvD,0.15165900150507788,4.6983849754982823e-07,511,126228773830,231152526,511,4.6983849754982823e-07,231152526,4.6983849754982823e-07,231152526,1106
AmjjrY6h5DALGXUAhGhhv56ryBnT1s4QjUMkBbxfnBMC,0.3008259683419865,0.3006925486381801,1067,550031304660,549909471235,1067,1e-08,100000000,0.3006925486381801,549909471235,41
EfarMAmSP5FUo6X7mwLmN1NkVSNPTmf26tEWb1Bngaw6,0.00042022862530829535,0.00011038312667004376,77,83073091308,43056298958,77,7.910266013801454e-05,36353725164,7.910266013801454e-05,36353725164,87
FnAWZ98DHHHo48VxiNqB8msbD5uNYpxdwynJx9hGpump,0.000562421433969846,2.6141718229907348e-05,11,95905359119,21260976725,11,2.6141718229907348e-05,21260976725,2.6141718229907348e-05,21260976725,333
8gxyemBSuQha24P8gjL7zh4sJ6PtTF8iAi6bRfJarU56,3.485900351615784,3.4312533822717e-07,903,604678855139,193869028,903,2.890492382418098e-07,177919028,2.890492382418098e-07,177919028,996
ByaTYruLNRG413eayk7XeyrLNAVmmZfHaxUTo8rmpump,0.0008673280636911404,4.727679118901941e-05,91,119272147672,28368422621,91,4.667413429280381e-05,28185779444,4.667413429280381e-05,28185779444,260
3icydpXEcLrK4bgRTw8mktHv8E43QNHP4qcGq9xWFb8n,0.18969678341411142,0.1892904101573042,2388,1513813632807,1512193341050,2388,1.200000000012e-09,120000000,0.1892889849366253,1512187641050,65
6FUJ9AyMXnsXqKA1oQ6jcyLj9yTFUQLXRhPVEYFapump,0.8332879229117865,3.1282246337889653e-07,260,294446258162,182704234,260,1.4036414134976035e-07,122308509,1.4036414134976035e-07,122308509,1124
8yqCfGyyc9vTkih73KoGXfB6RyZAMKYepZPu8upNpump,0.00042409735802159513,3.650319586635339e-05,8,83266359283,24749982798,8,2.854875171013934e-05,21835793516,2.854875171013934e-05,21835793516,635
9XC5gobmKZfeYRmaStxo1BDeFhYPX1eyCpQUehHepump,0.001493727300041699,3.693906789924278e-05,336,157535042469,25388152627,336,2.9372669052055212e-05,22365488591,2.9372669052055212e-05,22365488591,404
CSfPePADjnrv39RTA3ChuzLQ213o4Jqf7rNQRicdpump,0.0014049814064995415,3.292813448619486e-05,54,151737288459,23504245639,54,2.227973003410083e-05,19322793246,2.227973003410083e-05,19322793246,319
D4K1Gue3U6EFUugqNyPbbVkXJr4mf7SizL9GRJAzpump,7.456079231307503e-05,3.9308911714520297e-05,5350,131448955169,98166052876,5350,4.833252779120348e-09,1000000000,2.851860023152431e-05,82235411328,48
3i5MzzusJEUghrgAteAfmvjHyqAoG2hPWciWbEQLpump,0.0004347046687766396,1.7383834924372376e-05,31,84318746174,16893852843,31,1.6624438203409647e-05,16520257211,1.6624438203409647e-05,16520257211,1015
5DHnX1L82XFzz3XejR1QCcpa31EJnJrMcFdraCKapump,0.00040140565534215204,2.7499784214338065e-05,3,81005359146,21563816106,3,2.7475367721285625e-05,21554227935,2.7475367721285625e-05,21554227935,476
5erQKZrsPgemDfuLVDMNcB4J85pPmDD78Zp1gsiWpump,0.0013279604784155036,0.0002363480285028488,603,148587576529,63126010101,603,0.00013723495281649884,47959651218,0.00013723495281649884,47959651218,58
6zrDxGGLveMAf6TQSCFnBfuYJa4jX5c4fwJseSFMpump,0.0005588711802819906,2.3911098792002738e-05,36,95624592803,19997602028,36,2.376480478645423e-05,19932098955,2.376480478645423e-05,19932098955,588
Dkkxegm1bwgeNc8RvALUaZ8g34wn9Y3e1Fjw9DY5pump,1.0440459006324947,4.3595386337153916e-07,410,327762099398,214888465,410,4.1266552531540375e-07,209040906,4.1266552531540375e-07,209040906,1199
EZthq4bn58Ve8PS42e9VVV4jFqBJwEjnmyxg9WctbqRx,0.46022633804876395,2.598640024119021e-07,255,218820423550,169644600,255,1.8313479189161329e-07,142340220,1.8313479189161329e-07,142340220,559
