token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
J8frA8BZFkwRJbsDn8vGdbUXvxhqrs4bmm3hCKmbnKWD,4.795966726170906e-05,3.866739091370889e-05,47,12018890905,835718,47,1.606437019757907e-05,792907,1.606437019757907e-05,792907,1758
6Zpe4Lo5wsVrSFMyYWZNp2XSdaLJ4D62qCe7DnYfpump,0.008019609251424996,1.9801027172561228e-05,7,362538893915,18152564004,7,1.8462185071461734e-05,17448713227,1.8462185071461734e-05,17448713227,656
5bo4YFodiCXGs5fDiEGjuaRsm3crR9JSu2EkLk9Gpump,0.0005042647625483655,2.441849054700757e-05,5,90805359129,20208242282,5,2.441849054700757e-05,20208242282,2.441849054700757e-05,20208242282,348
7Q4UedNnXxYB1zkqhaAjfSLnYFFyFjqMZmZDgzinpump,0.0005214002872771742,0.0003809930105141707,66,92359468149,79001332473,66,0.00032779376935049195,73271127445,0.00032779376935049195,73271127445,281
8U1rXX5QkzdcJAiDTB4hyunTBG8GrUBDbQz911Zbpump,0.00039647180752552536,1.8948937899456157e-05,2,80505359094,17649739984,2,1.66249293278216e-05,16530021953,1.66249293278216e-05,16530021953,890
DU3mrNjwSgUGivZRB9gBvjeToAyY4ECotGJLtXihpump,0.000872244948654507,0.0008355284472557082,188,119601225368,117061728091,188,0.0004317792058176749,84017890386,0.0008355284472557082,117061728091,288
2CJZVahWpBp95KM7uaPog5gwkEV7ntqjhRXcp1Mte5ve,0.5821194720773719,1.5747630652555379e-06,117,245975610125,413117720,117,2.2974201310152716e-07,157563515,2.2974201310152716e-07,157563515,1574
9yoF1Z4hviyUhKbCDqxB3QGBcjt2Peq2Bp9xSXv4pump,0.0004898364650435401,3.496247711693377e-05,14,89519806464,24115858139,14,3.494365617709176e-05,24109358139,3.494365617709176e-05,24109358139,359
Rmn4to1AfFYGoU2UVx3vmm47iNWyFHi3aYhcLpWpump,4.027559639800299e-06,4.027559639800299e-06,167,769264007058,769264007058,167,3.4318991119595778e-06,710030000000,,,97
8N441KSjJkSqVwMYe7JXySGWaqBQJf11bdgz2rHPpump,0.0008380088498175235,1.8757909702961147e-05,17,117122448368,17746493460,17,1.8753339604919356e-05,17744309205,1.8753339604919356e-05,17744309205,452
AQ54skGJzQj9NtfQhqpWFRThLAbveoLMaf6HaXYpump,5.119961797577102e-06,1.8898058391329907e-07,59,755617586776,1625708,47,2.6773202134456947e-08,1520210,2.6773202134456947e-08,1520210,1416
5EHCnmk7enaAQquRxE4xnen7JcLd2M8z6ajmQTM9pump,0.0010246619643078335,2.930144416272572e-05,483,130171838801,22251063394,483,2.930144416272572e-05,22251063394,2.930144416272572e-05,22251063394,260
2zQNcdLBzNqK96py9BfDU71kgk6k9Crezsdf5tToKYX6,3.895262115567721e-07,5.54800092606135e-08,305,40048851929,15150932738,305,6.25e-09,5000000000,5.53318286885319e-08,15130095688,140
Cb9u5UJvBXjX3EsjttJtvRoGL5E3bwLx1ahsibWipump,0.4424409331874284,5.72878787304534e-07,218,214881271420,252648399,218,2.786299484743365e-07,176095810,2.786299484743365e-07,176095810,1033
3kjBpbzAn3s18CxGZfio2uxpn1rLF2TSFYFN7ybqCYCt,0.0001099575105862141,7.015566428535488e-05,274,70182915211,26869141,115,1.6288334631120147e-06,26830993,1.6288334631120147e-06,26830993,1144
41veg1KpzUZGW93W7SVrmxEtCSqX2dSbUJKV1nSwpump,0.0005641754655308205,3.792801692219581e-05,42,96088684415,25095149062,42,3.792801692219581e-05,25095149062,3.792801692219581e-05,25095149062,402
36VeFnVLEM6NaWZU8KPPNXxT3VxDhPcMWq8fJraqxGBB,4.041169240143419e-05,1.1883165645142711e-08,173,754201899224,114331,173,7.935339754598126e-12,2877,7.935339754598126e-12,2877,1435
7WCVKCXNhJ1Q79Qnzrb1TSTXQbQSQ9DvDGYw8AMS6bq3,2.399993541718539e-07,5.9575976712843634e-08,239,442503720132,6935410,210,1.423227073084626e-08,6925410,1.423227073084626e-08,6925410,1322
72mw17WFA1JMcM1DcJgkMHkAMuwkDCH1Fi4FMzydz6TC,6.825169138546518e-07,6.545587110525567e-08,45,80910837890,25251073962,45,1.4159326315789474e-08,11600000000,1.6482883776142254e-08,12587713841,157
54f7vsYAhKUQ3Fd1wJN47RRi8LRKgfBjjZi2ZToTBtwW,9.101016158925495e-05,7.658671280579548e-05,160,79397233139,23266436,160,1.4885479600233588e-06,23260777,1.4885479600233588e-06,23260777,1506
Em1qi5vJLKdmSRpZ9NHYYV5HhVVGBh7ajGNmnjecwDvL,6.941098220556584e-07,1.631437222995824e-07,86,817571973843,3033047,58,6.838612889933048e-10,2787192,6.838612889933048e-10,2787192,451
zTw3PR7zEKFMxYu4EBn63getYddX8bUqboKEiNPpump,4.0255516002508715e-06,4.0255516002508715e-06,146,779814563475,779814563475,146,3.5285641673745505e-06,730030000000,,,180
9T717fHvkmhWnpEXmsq4jBtzU5m8uaPrJUBbBDxMpump,0.00044656048748146284,3.3219402593977465e-05,11,85445769486,23578490249,11,3.3219402593977465e-05,23578490249,3.3219402593977465e-05,23578490249,352
6f2QmvZCibAXtnQ49s1otrqdfhNXBmR3BycTQhTpump,4.280411337532711e-06,4.280411337532711e-06,243,806347625607,806347625607,243,3.5476085053166438e-06,734000100000,,,40
BBT7nBvhgzryyiBKCuuRCbmMy32CSUJyMUfbYympump,3.8605460178575876e-05,1.5595284352612042e-06,144,788906914774,7931606,133,5.868832696564499e-08,7620999,5.868832696564499e-08,7620999,168
MsgauVazmaYiCa8MLxUoG6owtUCNBgPk5Ntozd6Qawa,0.004334342799963195,0.0009012869734814844,13,266495961058,122126900991,13,0.00038185287123247946,79005359058,0.0003924766016292002,80360042408,228
6rAbnE7deq7D4wtFYFa2h7SQDTcYkRksBkmAhkEppump,0.014962498644081598,1.4353208427982575e-06,435,497515950560,1408,435,7.807147439526098e-13,1,7.807147439526098e-13,1,984
DbYkwqwScYrwArvpHZEwAfSEjrESADphGWCeSrMmpump,0.018420363150801547,2.4408530064007567e-05,5,549363395949,20418528489,5,2.4408530061616755e-05,20418528488,2.4408530061616755e-05,20418528488,733
2FQGaSv5p82sXb4NRYsuNbJnbiy6wCKnsPQZS8Qfpump,0.011825924380324046,4.078393143320204e-05,1066,298822900000,7234,35,1.9585484183225208e-11,5,1.9585484183225208e-11,5,904
4cQnvRE6g1RABn6jHTjPudtGJqU8duNYyijbYF41NbY2,0.0008610631060739979,3.9022156223917734e-05,100,20827987186,4450521216,100,2.1097296479499995e-06,1027100000,8.749926735984492e-06,2102156345,510
6LczK7FdUjkbgSHQiYmnzBN53CHMYZ8vaZJp5DDpump,3.735762869939797e-06,3.735762869939797e-06,96,750157653670,750157653670,96,3.519283865219634e-06,728070000000,,,208
7C3JnbfFzxTA4DtRrTXDTwqGmf7ev9S3ZgB5TDtpump,0.0006809211258966525,2.4583250953408175e-05,379,105787859018,20144728585,379,2.187452828051455e-05,19001111754,2.187452828051455e-05,19001111754,581
qYdatYxTQNuuZVHf5AhVtSphB8AFDGQZz4wTeqWpump,5.197045353121135e-06,9.958049916545215e-07,83,707763513873,2611933,69,2.3278967770981034e-08,2115482,2.3278967770981034e-08,2115482,1285
A6jH3Mn7skRqvRDp4CWT1nwQ4Q9ezRizTv9bhow6rwta,7.722822079867839e-08,2.7744901189478464e-08,38,19685148695,8829975,38,2.1724661505560565e-09,8732908,2.1724661505560565e-09,8732908,1573
B7oxfcQNCf7o5VDj1bAtAh9GBzxn1qdmaaTkpYNupump,0.0008607540147757218,7.641861544942948e-05,70,119114020526,37169397780,159,7.26146609233592e-05,35849776169,7.26146609233592e-05,35849776169,204
D4gwj4YuXmZBxzGoNUCWuZTg92yL7jXpLbSP4UoeLBZH,0.0009771234648976485,3.9807999540672555e-05,177,126812256594,26074492697,177,3.5726415028147317e-05,24699600453,3.5726415028147317e-05,24699600453,501
8axD8ZSv6u56r8AE3rannsZLynbrpyoazo7ZNoNViPhQ,0.005060962899503632,1.3855120957600649e-08,511,422295748985,629,511,9.986942759578928e-09,531,9.986942759578928e-09,531,1287
E7TzQG3dBrEq5FzpdtTrgWKhWr1o9zcBwm2DJKeLMvd6,1.890584913432462e-09,4.708740685802117e-11,88,8775300000,774657,29,1.2983947758877481e-11,774543,1.2983947758877481e-11,774543,1738
Fv2YMfv7Staqrn5pS3oniWFCaUew1RALzqXNrBxW1nTg,2.393710362594377e-07,1.8311432897618893e-07,191,792519392637,8609444,168,7.661230186490973e-09,8199444,7.661230186490973e-09,8199444,445
5Pbbcu14NJ1QVnVoyUPLeZQFvXunavL4AACFaXLpw47B,2.3843341726960316e-06,3.8080277063110335e-07,435,195353566018,78566621199,435,2.1173878819537335e-07,58561684736,2.1173878819537335e-07,58561684736,48
BXnXBBFWU5NsYSrCSv8dNHiarZW8dCGdcrSzwjqpump,4.321952546524558e-06,4.321952546524558e-06,177,817393186172,817393186172,177,3.610440791445207e-06,747000100000,,,86
J9RY5NrR3i6jxJctdy955Dc4tjCF5PHyh7BQZb6Cpump,0.0008421134555332791,0.0007045920821559102,28,117421948047,107886501779,28,0.00037820339932302134,78949770856,0.00037820339932302134,78949770856,147
3zoCxLhdHokVqLz9tBrwcAgFMHszq8H3F1KjWYdEYNL5,0.22346819510778007,4.476488516454739e-07,288,140371481561,203644249,288,2.9678693208983556e-07,165728477,2.9678693208983556e-07,165728477,1292
CXeRj1qD7XutCgfSGFab9F5D51EzZmWs8BposKbM39mx,0.00011322034462791762,7.020982269418539e-06,46,88516525674,20717575,46,1.1168226737296514e-06,20717487,1.1168226737296514e-06,20717487,2905
9yZjazkMgPNPBwsAZKcTG43S1ZYq3N82x5z8gewXpump,0.009775426270891834,4.942042807410657e-05,590,404249264134,29227747561,590,4.942042807410657e-05,29227747561,4.942042807410657e-05,29227747561,100
GPrJH3HW916R89XgUPKs2XQjd78C1eHqaMLjctDBeEJ,0.00013980938655582553,7.762849432787667e-05,448,78735685969,13194678,80,8.378578393853288e-07,13189176,3.294195860592963e-05,13189176,1427
