token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
4bmKLC3aYw4xvTYkYN1qbmLP1STUfNgJ22pDMVHUAC1c,4.102106038268732e-07,4.102106038268732e-07,161,496246633092,496246633092,161,2.6666679983334995e-07,400000100000,,,140
LU1qeVm2uij7gdVuo6SeXBeoevp1KRXiKTSNfWGpump,6.255331777737088e-06,6.255331777737088e-06,191,931568743108,931568743108,191,3.238279362010633e-06,670000000000,,,99
553kg2L1cvhLVWjc5QN3YY16SPpQ7W7PZjdYUzKRpump,0.3960154295316056,6.668968959099893e-07,26,201330049504,266190682,26,4.577690206914871e-07,220489643,4.577690206914871e-07,220489643,1576
A5GyzmHDuJEnb8GEiMcyuY4KXMAo8ho2vQyBZRTwpump,0.0004943783151619234,2.4638155034700376e-05,106,89988796302,20349991401,106,2.4633276122376784e-05,20347956443,2.4633276122376784e-05,20347956443,220
E9wQEXBT542C7a1aSy5LmFiitENcZS2aELPco4A7pump,0.00042786502234866706,3.042363200122359e-05,6,83635809730,22686509633,6,3.0289842167253297e-05,22636509633,3.0289842167253297e-05,22636509633,236
GJZ78dm5TCem9Vqz1eBsREyihPHVjFg1JVHJFLtfpump,0.0005636071791005456,1.6865048399402696e-05,3,96005359064,16668495643,3,1.68206945896109e-05,16646535245,1.68206945896109e-05,16646535245,1532
4e9ZvSsxzXB49EVJR1vHJqZj3UuzL8nqWbmk1yScpump,0.0004316505675786291,3.071228786701209e-05,2,84005359288,22851666823,2,2.9979251818710888e-05,22576422267,2.9979251818710888e-05,22576422267,330
wrfL93ghf3CovaQjW5wbyytTTE1UgKR2TTGR179WU71,0.009654189762739098,2.2222878189727374e-05,208,676708150829,4760889,49,1.3374099478225336e-05,3692155,1.3374099478225336e-05,3692155,1674
5Gd9HgTvoQtUz1yCLKC36XxJfdAb2RvrFonbFz2RgtUR,2.0980379163333613e-05,1.8805570125245808e-05,46,4588322114,4344300040,46,1e-06,1000000000,1.8805570125245808e-05,4344300040,998
96ezY3pwdWgJLCzZ1MCJ8hmk7e6kSeYuErugc1YaeW2x,0.034128212837425106,0.0008627985011197467,371,43951344634,7023085156,371,0.0008191911092141467,6843085156,0.0008191911092141467,6843085156,145
A8v423suRfXiazSsEoSA9oZTEvVB3iT9A3TKefJNbuXx,2.655670565500564e-07,3.6060592230703535e-08,894,72679870911,9249321,99,1.4e-09,9127977,2.0398543698141227e-08,9127977,1540
EdBp881A1DrBdZYJuQqtDC8DxwaepBEh6uuvjXvMpump,0.0005826957370768568,6.790610726107033e-05,11,97621846752,33826066706,11,2.624288599558107e-05,21010073367,2.624288599558107e-05,21010073367,213
5N74TZhjoKcAuWsAztXonwZ8cgUWSopmKyVokzqQpump,0.010471766155910965,1.0525850136644026e-05,1235,326347050301,4440,180,8.579059599491687e-12,4,8.579059599491687e-12,4,900
EhtefiWLnQC5icp9VwxBLNYh25rPaVonR43NSrSYHnus,3.401163817656831e-06,6.178596086192412e-07,415,89764953882,38549798982,415,1.3073759775606741e-08,5500000000,4.771612147300174e-07,33871456696,64
8i3KGqtGM9sWDnR1JsyD2u1SaE5WAzSEhKcDBm2Upump,0.0003818528720009667,2.226622149827695e-05,1,79005359217,19187600186,1,2.226622149827695e-05,19187600186,2.226622149827695e-05,19187600186,698
FRdEEa5V7P29ZpfVwHRT3swSiXpcJXuN8vzrkUFBK1tT,0.0008095999997778839,0.0003952660395298582,938,47261536595,11376755,79,5e-06,11376202,6.541430019452456e-05,11376202,1006
rZBMtTJdEPsSDyxJ8FDw81HbDvAx65ADLjJV5eSpump,9.360604135648378e-06,9.181552097367888e-06,192,842115268170,91421106,185,1.7883035282745289e-06,91421106,9.181552097367888e-06,91421106,106
13hB1DfzDeSqSzcJCP6baesnQCxCB58fDb4c48ozpump,4.949176742071839e-06,3.695195637358635e-06,200,762407841811,6420558,93,3.347218846173752e-06,6139557,3.347218846173752e-06,6139557,552
Bip8PFXBPQRzvfsCqdozemqdeGJBELh5gkXgewHWpump,0.0004066688435801242,8.48260965733835e-05,5,81535359260,37605292273,5,4.378105652043646e-05,26914820038,4.378105652043646e-05,26914820038,227
4HMuEiEmsnaGCjeLwPDkBiu7tUNxk4LNbLpZCUhgpump,0.0005408846276290072,2.0474893939555115e-05,63,94149803310,18548775739,63,2.022896194452724e-05,18387324743,2.022896194452724e-05,18387324743,280
9o3jw8VTc2z7BkyqPHYcM7s2XmxTAaCWZ1wofvs12bTg,1.1687927712783266e-05,1.1497287025208656e-05,139,621612148272,616528097580,139,3.3e-06,330000000000,1.1497287025208656e-05,616528097580,296
D5s4W9tY7m2tiPkEkCeBSGjD5nwMq34o6ix8Y99Vpump,0.0034814184563131327,3.23337468902494e-05,4,238804983447,23615675615,4,2.8257845346767505e-05,22065739950,2.8257845346767505e-05,22065739950,255
5kiNNneLJw841z9XeudCN1ZsEpAhHuqus1KFdtnKrQzS,1.2035946120873564e-09,3.7878200966309525e-10,26,1324483278,744127431,26,1.7898477419354836e-10,510000000,3.757371491184858e-10,741127431,781
6CCEY85rbykzBYVsHSS7BvoMiJkyHBxQ9zt2WZNPYydm,1.7089533732302275e-08,5.0393352554042065e-09,30,6801356346,3701062123,30,4.011832857080521e-09,3291967115,4.7709693119254376e-09,3601062123,550
6jHwTzVcX148maKphVzE9N2BzvWrgDXN6hRsbUMxpump,0.0008413071174587139,4.000265285387292e-05,449,118467081162,26484091751,1448,4.000265285387292e-05,26484091751,4.000265285387292e-05,26484091751,67
Befwx28YhGzFqZzTBoE6Nh38ugLThK6yGtXR3fSVpump,0.0005423486645416455,0.00026971809343852765,54,94195367031,66466847729,54,0.00026971809343852765,66466847729,0.00026971809343852765,66466847729,494
DoUeK9HUqj4tFbRAKHLcm7TzJZZGaP5UUjxp96hpump,0.0005206743634148784,0.00014795248799708382,392,92742974268,49996481133,392,0.0001234361579510435,45465133692,0.0001234361579510435,45465133692,56
TC7cDd1tgSSdJdtTGFWmUM7SD9Zj5cnjmE9yWH9pump,7.363757162936689e-05,6.147303482877449e-06,162,851829209418,72576373,53,2.126631222812953e-06,72278894,6.107949807447269e-06,72278894,1151
tcuHM1RkexEtxbL8cCusciRRLG2TmwUJed3WWyMpump,4.884169817494294e-06,2.9427717868378362e-06,159,801518123196,9220759,151,1.2179092328440563e-07,8326567,1.2179092328440563e-07,8326567,403
9kQfhkXTTyG7so6cG7VmDYfet7q4eKBGHp5eCFWvpump,0.0004196113744821989,2.1687923502143136e-05,10,82838673080,18995629393,10,2.1687923502143136e-05,18995629393,2.1687923502143136e-05,18995629393,634
H9fd2nnadsg5XZvCf72Prmd7vEeYtuEyTTFEcy2hpump,1.4881307746696388,1.667325836907687e-07,278,393944495911,133865016,278,1.6125885593529987e-07,131603702,1.6125885593529987e-07,131603702,761
mJqzpLxMeUDS4C5XS4KncfunmDc9a5Xk5b2n7eTpump,6.768083793129155e-05,5.124816553918711e-06,73,799150827841,51561256,31,5.787821171900226e-07,51025462,5.787821171900226e-07,51025462,1604
EZVKwr8y6nvLscGCst1vykT9HDkK8F7JZx9qQbHgpump,0.0005368267130420567,1.9771915001197366e-05,3,93694449624,18146833525,3,1.9771915001197366e-05,18146833525,1.9771915001197366e-05,18146833525,1466
5gCyQ8aHfEbQcUV8JVpsPHFGHg3Rw1w44XdLBZ61pump,0.0006646792950896806,8.403355885814416e-05,190,104498234446,38007063339,190,8.403355885814416e-05,38007063339,8.403355885814416e-05,38007063339,32
3Wd9Q6JjwFzK9uBXsu32EGVveogjrYmTwGQwbNs9DYto,0.002494411914757433,1.321522259223725e-10,589,264739943502,25,255,7.966092937388508e-12,6,7.966092937388508e-12,6,1382
6yK5zLQJvnj2DeJuJPrGCXXMX33nkJif4P7erWhTpump,0.00045874889747920156,0.0003239841822699021,3,86605359207,72843006865,3,0.00031218474252178637,71502014221,0.00031218474252178637,71502014221,574
BsYDbxNMejabrTkdgaV6G6cQRzjQgs3afBeEPbr9pump,0.0006730202615156588,2.266963771098025e-05,116,105167476508,19452759567,116,2.243513570492685e-05,19351759567,2.243513570492685e-05,19351759567,538
HafeCaWZyP6amRaktkt4TaxroDjVoVa7VbaWUyFKRi9q,2.881558032744019e-07,2.881558032744019e-07,272,863541954731,863541954731,272,1.889189189189189e-07,699000000000,,,53
EGePhMTg5wyDxPZj7sJCyJ4MtEfHdaW2UDFxVkaGrazB,1.2421154715899943e-05,4.094204498596886e-08,57,103615183450,993568,33,3.6715281700639985e-09,932384,3.6715281700639985e-09,932384,1001
13pmDJUxvv939fPqMFuesdCxwepbfgDkSZk5CyfUpump,4.236131232191461e-06,4.236131232191461e-06,238,783385589876,783385589876,238,3.383566584255679e-06,700030000000,,,50
2qxnjgnm4XnUUxRS2rYkwiYKJD1SheFNKB78h6ZH48ME,5.130120504770067e-07,1.3504388735100777e-07,152,964067257335,10127452,131,8.72155724096848e-09,10107766,1.4374698735275555e-08,10107766,762
5zH7rTr6CyGVCKGjL2F7UJHnEsW8JNmyrhgGsCMmpump,0.0005068195837375497,1.8626603923919453e-05,7,91035459058,17519106100,7,1.8626603923919453e-05,17519106100,1.8626603923919453e-05,17519106100,1820
9gZBEvquoTVX4HzjENGJSbHggaxwsdVa99ZhkkcKBcBH,0.004202545230539906,0.004158108197814442,1603,387244145956,385193932240,1603,0.00014,70000000000,0.004158108197814442,385193932240,12
BXx4YD2uKb7SWTJyZoWvTwavt64k8THEQ9h5M894iH6c,-2.0550125313283208e-09,-7.10645591339086e-09,1,5078639584,5078639584,245,-7.10645591339086e-09,50000000,-7.10645591339086e-09,,351
uggVbmUMT5EumXCqybJjeCW4fzYP3G7ZS8bqzccpump,1.8942860345713884e-05,5.995833999208159e-06,23,811704520000,51963044,14,2.4649589173513773e-06,51073312,5.467529773610181e-06,51073312,1513
AZcbGxynWku8eCZtRnw8ErmHpTNpTzZXDy5UM6YPpump,0.0014991211719598166,2.063020834346463e-05,25,156663153298,18678296827,25,2.063020834346463e-05,18678296827,2.063020834346463e-05,18678296827,1049
wY4aqXaAjkuhQwCtBCF68mbQXW52MmnsbcYPB8nrwXh,0.005594947420629989,0.0052856784760029986,1469,413182816844,401698191101,1469,0.00012,60000000000,0.005233241310905057,399698191101,16
J3rmjk9QJFMKqoTvRnC77Xs8NemN5Qvkpp6Y4oG3fpFe,3.1414209508022775,6.030934865736029e-09,1253,271539336808,263,788,2.694030872221118e-12,5,6.030934865736029e-09,5,905
6K8U5y6dUPwVNcNNkskZLenTigyuTEAyV4nG5CKHpump,1.289935190349227,1.3967961676628768e-07,421,367199940996,122983965,421,1.2424924507154782e-07,115983965,1.2424924507154782e-07,115983965,1519
738jvbkArGJ5pr969bzTohhfCqqw4x6mnsxoyJY7pump,0.009518306340096648,5.2546825691784905e-05,1404,403911433726,30433834923,1404,5.042004758963897e-05,29809474512,5.042004758963897e-05,29809474512,69
HfzGsxgb5oXoWoWw2UBxAVstCEDusV7RuGyotVsRpump,0.00045483155088868097,2.2137855575207823e-05,82,86657977616,19271688625,82,2.1567430604576622e-05,19021473272,2.1567430604576622e-05,19021473272,846
m4xTS54hV76WR2i7QLKqys12NmVtYst5sWMg77zpump,1.0040518994227511e-05,7.32873657820744e-09,46,753708663553,86856,35,6.510217619675991e-09,81856,6.510217619675991e-09,81856,1608
3NFN25zobxkuY7koGkksVt52rtgYqXomr7uLEfVjEDFg,0.12552219125431194,0.025320814678937178,412,399858120583,200002,90,2.5415538513020328e-12,2,2.5415538513020328e-12,2,2041
t2j5tebWYs21UtzQT6DomSPLC471dAdaGi1VQYsjPtn,9.311433974112662e-06,2.7614493122065783e-07,35,529558800000,50923258,35,2.1445567018818035e-07,50903418,2.1445567018818035e-07,50903418,1527
4a6ig4G29UVXTUgLDvvBV4pcK8zsD2YoctmLwFwXmeg7,1.7757051873212607e-07,1.7757051873212607e-07,297,870379903100,870379903100,297,1.1459016393442622e-07,699000000000,,,215
EmwswHwxRb224jpm9htHNs184iQCCDqhqAuPWwCpump,5.570557667898075e-06,1.3357752976191434e-06,71,716810139848,2866129,61,2.0689434259718726e-07,2294225,2.0689434259718726e-07,2294225,1358
H7Fvy9caZNSmFQyfnuo6rZJrX5gJBvvggm4tGKGspump,0.008639774139845154,0.00012471452183338732,900,374421544050,130175384,900,7.568738133437747e-05,130170371,7.568738133437747e-05,130170371,890
13jqyBf2uCRh3yyw7pHahQp4pkS9WQ8QXxNf3iHrpump,4.483645743412971e-06,4.483645743412971e-06,225,825855726941,825855726941,225,3.5529718057291304e-06,735055000000,,,50
BDND9HcRidGrU4YWTsuvTGC2oxrdqeTihK54Uup5pump,0.0003870859947413183,1.9742907388942336e-05,6,79545559070,18047787358,6,1.680907650642489e-05,16651280938,1.680907650642489e-05,16651280938,1580
EEvAzgVykroPTytRm1NxR4pJrVdT4784CMXbMneMpump,0.015338714629418975,2.119662664140161e-05,7,501498799995,19269631287,7,2.105774614743506e-05,19206317009,2.105774614743506e-05,19206317009,622
PGUBKkGzzqbW21PjtdZuuFharUsTikQT7siADNBvNXc,0.0016563452478941473,1.8321784216006257e-05,304,165041168980,17472191150,304,1.80976651179788e-05,17364637193,1.80976651179788e-05,17364637193,642
