token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
3Vte3SFsTgY9wWJKjPg4kCn8HhKSGWTLvUgoW3Q8pump,0.0005538335149757553,0.0002795741019090186,98,95199411518,67834809947,98,0.00021630098042605295,59596529392,0.00021630098042605295,59596529392,121
8UGoaxAUpGu1btwZPTMsxz8hZAjBQztnntHog54dGXCP,0.00019104065006030966,2.806722447058007e-05,9,64728300000,24963903308,9,2.806722447058007e-05,24963903308,2.806722447058007e-05,24963903308,844
FNRchH9sfERzXkBgRrGqcRN7oxrbfBKNpxEk1JFKr797,1.240391529049427,1.884091048784303e-07,944,362030082086,144482098,944,1.3912712911372594e-07,124007792,1.3912712911372594e-07,124007792,1136
34jhCkxY4LAXKoJVHAXLqJW6ppvZ5uDB2M14K5zZdBeT,2.7508172731862475,2.66619275972102,694,643978123809,634051104793,694,1.5e-07,150000000,2.6555039093672406,632756449353,327
647JB9wzicsZJnX1kcn38weqwwmLoh2zTos5mUDMUYnE,0.004372673954652958,0.0035885139777535363,1257,421293778661,413851546,1257,3.673292238007449e-05,413846345,3.673292238007449e-05,413846345,18
9HmyKT8GTFT3krMgWP1U8fYcT8Rp5ZeVeG4oBeVCpump,0.0005069630761499632,1.842804914681321e-05,10,91054707200,17505426586,10,1.842804914681321e-05,17505426586,1.842804914681321e-05,17505426586,401
3Jn7GA4kDo1vjA5FhdRZgJwfDuPGfajfXBZkPJ2opump,0.0017308724298039189,3.439887180347239e-05,1829,173101174925,24939557877,1829,3.439887180347239e-05,24939557877,3.439887180347239e-05,24939557877,353
5BT1dhcAprAyS6qBuhdWrZaTKkVDELWD36C1y4gLV1CY,0.5888814012185387,1.9253550402654988e-07,256,247622828724,144322979,256,1.6072432484526597e-07,131846584,1.6072432484526597e-07,131846584,2131
93xe6GhEsbx2Gim2nBvCmTXjqcgKwxZJbBxhQcm6pump,0.7982318918272321,3.666768072656642e-07,371,288648159126,201074858,371,3.478728372973292e-07,195844858,3.478728372973292e-07,195844858,2163
BYYs2HX8WdNBYLBzYLvCJ7viZEdyT5a8Rzpq3NTcwiuD,0.00015147267912545557,5.421242014826066e-07,707,794437258066,745440,40,1.0882607564380603e-08,105132,1.8564467103774796e-07,105132,823
5KSviXEmWSYGLoF8Qf4GePPKSJzV1Ms3C77krvzQ7tUX,6.641110526801617e-07,3.889846202902411e-07,254,547148809726,26309174,197,4.0196812565650083e-08,26261409,4.0196812565650083e-08,26261409,223
J6RRZcHUCpP3tF6Fj61JNSPhvrJ1MzFJKNeKsRiBiVE5,1914.2745607333843,0.00022050752481849402,1989,415156879368,34873,1065,6.367036317952097e-10,59,6.367036317952097e-10,59,90
8XeGbhkAEiVaKjqzjmJUFuZw4myE7yk7FGNdD8Rdpump,0.0057945222679536505,7.1790815991932e-06,158,304050776644,8426,158,1.1131072056607194e-11,9,1.1131072056607194e-11,9,1395
CL31mStw7szLWrXiPquHuGP3AhN7dAyFKnDcPjxFpump,0.0008546321987174087,3.620988792707573e-05,1414,120018699467,24876998083,1414,3.620988792707573e-05,24876998083,3.620988792707573e-05,24876998083,113
