token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
Bm75SWkPoHzdCEGYYsse24W59p5TD2TGu75GtVwpump,4.177103176343476e-06,4.177103176343476e-06,282,751621295658,751621295658,282,3.1561150302079036e-06,653000100000,,,70
AtZcz8fanbW5Hafd1rLDUNsSBxScFgUag4Et7EqGsgsj,0.0002341974294350977,9.052630326399975e-06,46,40326332030,2799549,46,4.939952577570062e-07,2788775,4.939952577570062e-07,2788775,1189
G6NBQ3aoiH5jKMKELzAkwyLDArcvngfkUBj1x7JUpX5A,1.6667257411910172e-07,6.05958543042862e-08,41,405348875058,1060099,30,3.565897390882339e-08,950099,3.565897390882339e-08,950099,1827
Gv1JVvz85BVQKL6HYS4c3sag4xTdSaijoC15RCsefA1Z,7.548960477929795e-07,3.865522872183614e-08,79,723065649454,1374080,61,5.133082626234625e-10,1323663,5.133082626234625e-10,1323663,1298
DLZER63dW312mccckQHmu9LY8XtNoi326V8nvJWYpump,0.0007034004618810116,0.0004717232547175746,1521,109697800914,90159211302,1521,0.00010694969273861617,42176080868,0.0003430500772190493,76860979890,36
Ddo9QXWDaxZT2uABF2LaiHqGKKzXuHZ8SVvM6zLbFV56,0.7085587142949009,7.086916254337786e-07,657,272901413392,276650836,657,5.612032049098019e-07,246150839,5.612032049098019e-07,246150839,823
9aMrKnYY5gfbFq2VgQpoc43o72ys7nYYdfqthNFHo3Ki,0.006587071759692733,2.6288682546387864e-09,657,3479741256777,1421772,657,1.1036772528508935e-09,1315352,1.1036772528508935e-09,1315352,1636
6KGAjhvXi3zsgCehCf48RqGvyVuGW5vQb1TgahLfpump,0.0004367862895837468,0.00011463829841496652,89,85878257873,44743894111,1160,6.97020149160603e-05,34211504995,6.97020149160603e-05,40968680743,51
3b5nJ6rcs3Tt9B72JVrz4Vypty6jzfRLpeFP2TA8hVf4,1.7044421394110233e-07,8.237873460759633e-08,1190,21108823528,14707078701,1190,1.4863636363636364e-08,6000000000,6.445364019022963e-08,12997386742,46
WwPzsjRgJFtyP7F5oxSm7dvRfPczvLeCMacNSeJpump,5.042454207536751e-06,6.763065985870732e-08,76,697514692339,2975926,60,2.020716223033188e-09,2951645,2.020716223033188e-09,2951645,1598
6zZqBZk1yR2iLztt3iZFqrjpgY6D5rFzcLpJEEezpump,1.9823990066427009,3.124003966463643e-07,623,455735638012,185672948,623,1.5546096142022497e-07,130884285,1.5546096142022497e-07,130884285,513
6Q1yz8ofspw7rYYmocdotww3xMTnv5A3qZWGYc5Li56h,6.282042587233902e-07,1.7306828120376525e-07,76,414808529495,2561888,62,1.3801983122482454e-09,2443160,1.3801983122482454e-09,2443160,1719
8t7cKaipeweScQrsu7JzHwuqyuDMWwEy33sdQAeLKhgF,7.192399907909913e-06,9.773834108689507e-07,721,407649745089,1784337,46,2.3515276615902628e-08,1784005,9.773834108689507e-07,1784005,1520
HHcimG9yHipLX7DD87sye2ifupNCExp2jggaEH3fr4yE,0.236712966366472,5.792138441979075e-07,51,156760360193,248949438,51,4.0973800662353804e-07,209340118,4.0973800662353804e-07,209340118,1239
GWjdTcfgXHKL6qqFQXQufYSTkcfEGYJRkbyYSA2kpump,0.0007268925603201218,9.914681539094723e-05,602,109810603960,41409018559,602,8.280567889830359e-05,37755335462,8.280567889830359e-05,37755335462,51
