token_mint,max_price,last_price,max_price_idx,max_tvl,last_tvl,max_tvl_idx,min_price,min_tvl,posterior_min_price,posterior_min_tvl,longest_inactivity
jJFTYRQQwTdiAFkb8H1AdgAMn5AjFQXXdupA6Vepump,4.022917256339359e-06,4.022917256339359e-06,118,789765566142,789765566142,118,3.621874230682734e-06,749315900000,,,154
8b5xu38HirCZVqQHtLSFh2YDR6JEHXwMtVWsPa9NkdXX,0.0023503372977819272,0.0023088316850038326,157,325749310869,322864472033,157,0.00018,90000000000,0.0023088316850038326,322864472033,1129
9BUZBtuC73zJHKbPMHVytfzi7cUoN1hFfJQJjTpAPsgq,0.0001011653791525552,9.028162274276823e-05,132,89662944344,26799247,167,2.2949367272631225e-06,26788950,2.2949367272631225e-06,26788950,938
85SJU42ikHhJHoCgX4p1gMVkHqUFAZyJmrsygUuLAWMi,0.003477382527367762,4.981564179030338e-10,194,496650054555,1351830,194,9.076906858528182e-11,1351418,9.076906858528182e-11,1351418,1186
is6DMfPe4f8y83gd4ErZwfRPZMEHhH7v7wgkgZopump,4.130892017506404e-06,4.130892017506404e-06,149,800308591294,800308591294,149,3.621391493475109e-06,749265900000,,,72
HG8WeppsuFdiEF27HGBzFBwGCMdFYW3oom8xsVfgpump,0.0006997479457581021,0.00021179142192699396,12,106985559057,59111723667,12,0.0002117889203327216,59111196733,0.0002117889203327216,59111196733,379
twrR6Y1aqRNAV71Z5NSs7y6gWefZqLpfhKhEhVRpump,0.7518381892973345,2.4775848361641594e-07,84,279542225343,163279308,84,1.8034715681071874e-07,139279308,1.8034715681071874e-07,139279308,1337
FCfnUV6xv2VLcivhdTjDALQST9n7X2pvr3w8XN2sFtn7,1.4691538593685802,7.02453337717545e-07,376,393821248270,277670045,376,4.924786653456546e-07,232369180,4.924786653456546e-07,232369180,612
8oyxbtm1aT1BUNcoMua4rgycuyrc3cPc6iE7sRsypump,0.0005128166450262653,5.128883839922885e-05,34,91606571088,29220529035,34,3.9718392532357816e-05,25703837609,3.9718392532357816e-05,25703837609,509
B4rWG2AQHp53zXDQF54iGaACaTV2KdgvcRt9Ypv3XV5e,0.0029009468617498266,0.0028086750086683027,124,295484319129,290791279046,124,0.00012,60000000000,0.002780043095340803,289290278000,1109
69A7Qj52afbMMBGhwbqqEyzu11U8noHjZs71xH7gp3vc,4.7517312906282235e-08,3.246647811949942e-08,337,12392189267,10253744503,337,4.34079991869384e-09,3698019801,2.7922159415129217e-08,9505980345,157
3nSNDVRFZ2DobH2X4BSByeMjFNLEz73Q1nH1JtzTwG4T,1.1857161989409005e-05,1.7354989334285593e-07,447,31349415730,8686412,53,5.490679852760988e-10,8481097,4.4050236132229284e-08,8481097,940
Edi2nF8Yzi7JzNvTqrD532NgLP1qjGi9WM2uSoFhp2w9,-8.808899917446413e-07,-8.808899917446413e-07,217,13652586630,-57845505619,7,-2.8627460002916514e-06,-57845505619,,-57845505619,434
4Cr1JQHduEPaVN9qE9PiErfNaqwZjLyg3QmegBLGpump,0.0010242312119751991,2.523605403240981e-05,15,129467631382,20544911058,15,2.523605403240981e-05,20544911058,2.523605403240981e-05,20544911058,383
GPi9uRMK9vF3mGhKCWSA7NGzm2yjb9QKLzqVLvJbpump,0.00027589816328712965,2.011361128925634e-05,36,67281297519,18350740638,36,1.938156908402829e-05,18012752793,1.938156908402829e-05,18012752793,1323
3nFXZ3tRCMbqyMNYN6vvM1tqW51PisH7SbZr3Z7ypump,0.011526489083050958,2.35469708675187e-05,68,434768669048,47576827,68,1.0418469345559455e-05,47572538,1.0418469345559455e-05,47572538,751
AEdvN3fBWWoBrxX7fMNewT6qR6zHeQuY3Gew8w3Ppump,0.00046245301707653077,1.9071179357345234e-05,26,86961504858,17775059653,26,1.9071179357345234e-05,17775059653,1.9071179357345234e-05,17775059653,1080
9es9m1zs4BB2SYF9majDrsH1G5G4EsX7k6uFg3r6pump,0.0005718386917802219,1.784296915801404e-05,5,96705359062,17121185630,5,1.768290888052666e-05,17043872473,1.768290888052666e-05,17043872473,1486
E36eHCkqn9ub4omMEPw6iZ6ehXeTaFa9at4HzFJgpf6M,0.000415385338949341,1.7784112844431727e-05,6,82405609393,17129493596,6,1.671508444756649e-05,16548540183,1.671508444756649e-05,16548540183,615
GZAErRGwaos4oTRNpDDCP1ADWTewRHWJMXtAKyxrJRKL,2.768442440207799,2.744412269129271,1220,1828808946938,1821062436366,1220,1.2e-08,120000000,2.6925959940159108,1803669317328,36
Ct8pS7F1uWBh9et65GFzRMWZnPW46jNYkbqk1sagpump,0.009986033334202884,4.6169854857977575e-08,37,404638477382,4865,37,3.414921593471195e-10,415,3.414921593471195e-10,415,1641
2o5gnRjJE5iSpB3bAq72TGBWuYv5PR5fCCDuRdf4Y9Y3,0.0004224419243328385,1.9529214105414054e-05,18,83110700989,17900863625,18,1.667626822015203e-05,16537069360,1.667626822015203e-05,16537069360,871
C7Qv6r1NNBtfyHVSWr3R5sC4n3cjkt56nNE8Q1cWMVAH,2.685987307329371e-09,1.4587908698028829e-09,19,1239932573,919921593,19,1.2056476585952329e-09,827397648,1.3259348673203943e-09,875145561,2182
6oRaENXfxTVRc8sTdSY1wzg35oZfwb1PQjNZgFWpvfAs,3.8316809180027537e-07,2.9613432483331706e-07,14,19592346714,17229345117,14,2.564102564102564e-07,16023412500,2.6963359116620763e-07,16438658439,1822
9QdDwEDGL6aRsQtcw1v6qb4phTPQNJ2TYhv5kgj5cyvV,1.7348036988602418e-07,1.3026345749459712e-07,17,30102100000,26089597381,17,1.2946597873093065e-07,26000000000,1.3006939785532086e-07,26069732724,1763
GvPuocaJvegXxsPspZFLDYjDJfNok4HWsGVtnD3uA8rS,3.9290074348862045e-06,2.8548106816897632e-08,1005,88839847700,11292340,122,1.7e-09,11283538,2.8548106816897632e-08,11283538,1228
ABBBWQPeLriMwJ9PCH6uA4h4mqd6HRAsD2gLfHxEpump,0.9250610454136468,3.215680148365663e-07,228,310464604820,188349422,228,2.662010571205532e-07,171349422,2.662010571205532e-07,171349422,1295
BHemyaZm2XV49QAir2NC8uMrrDLRDwz7DXxDaNFbpump,0.0004934232277973942,4.803240868490319e-05,12,90122005918,28474578876,209,3.3404935783185615e-05,23717469952,3.3404935783185615e-05,23717469952,183
4wh68AeG4ubdVnKg8Lg2Jn9bG3b4TB2LXZsinTFjgHXU,0.0006482658199964608,0.00014148818456218652,525,111460115921,27930363,161,2.787972256621469e-06,27818260,9.066793746618901e-06,27818260,1425
9DFWyX1mALXn6i11bZ983Rb1ob7ksc1hFjnMrx2Bnbuk,0.0030886797960405113,0.0029732341830061362,124,329308932564,323147470138,124,0.00014,70000000000,0.0029370949534632423,321136520233,1369
7PAwwxioASwjn8c4ZKqHM9RkoUcH7aud9DAzUjBFpump,0.9816572148766732,2.771944704349046e-07,206,319906724083,174677381,206,2.429213692594173e-07,163280132,2.429213692594173e-07,163280132,835
a6AvT3Vf9YfT56RvRdvwsufkHMRL91dAL9YbvFUehag,8.163349173041135e-07,4.9637721039380095e-08,120,414458583261,2352749,61,1.4625480755335537e-10,2298436,1.4625480755335537e-10,2298436,894
3gjfPRGYiTsMFb82FczXRZKfYbRJDYrZAqNUzjDsBQAe,0.20468452599306172,0.20468452599306172,1547,2029569652446,2029569652446,1547,5e-10,100000000,,,127
CGp1rtGT3LWLi94BDu5iQ7DzYeJjcD66ujqRY4aFzcYw,0.00048059420875079436,1.7882875394927766e-05,69,88662177723,17170927116,69,1.748092765102994e-05,16975705080,1.748092765102994e-05,16975705080,555
AiGL24DvFsG566hzzvVkDH3ST1JztZDe2vAv6ThCpump,2.0783375593987063,2.3257672228652356e-07,994,467962042481,159261910,994,1.4681962092485252e-07,126426537,1.4681962092485252e-07,126426537,1007
HtWScHvxpjZ2Jj6GZsGiFVno11Z4XC9bLMkzYrG6pump,0.009627929117011852,1.9654346230203397e-05,134,397448163833,18350606921,134,1.9654346230203397e-05,18350606921,1.9654346230203397e-05,18350606921,884
J7NqCFd4AMQahHdokXGH3mGDzPY5zjdrGysx7ktVcma3,3.437097456826686e-07,2.209775097106915e-07,70,762351662410,2753879,60,5.148279313437346e-09,2343879,5.148279313437346e-09,2343879,1400
27yDMDnz17BGrVdCHTJKyDLfLvuk9jGdnwvc7RiVgHQV,0.002635459299188438,4.275293986692717e-11,133,1534123148102,197256776,133,1.1250000000001124e-11,100000000,2.5571645908161247e-11,151957616,533
Ajmo3KC84UwVUGLkgpJNt66t229QMPzBZXKfB6Scpump,0.0010421046999182122,8.08177768715275e-05,394,131228705675,37080307325,394,8.08177768715275e-05,37080307325,8.08177768715275e-05,37080307325,75
DCbySGxiP5zzBSxY56TbtW1awDenQJjQP5iUFv8npump,16900.904512421836,3.89014129826797e-06,1935,440127777839,3402,33,1.7243243476772778e-12,2,2.7352980962968943e-11,2,840
EHdumkk5RucW2oBz4EwoMDEpvy15qChEtmwyK1NMpump,0.0007695278298772575,3.6163058356616285e-05,18,112227649447,24818626438,18,3.486514334553396e-05,24368626438,3.486514334553396e-05,24368626438,125
iCZjEL2ABvvtEfoU2dNzNsE44ViZfTF4hKHA8tCpump,5.6308028015607975e-06,3.788984745160401e-06,104,774726772926,5888736,80,1.491251498756542e-06,4483736,1.491251498756542e-06,4483736,1000
