iter	Logloss
0	0.6754987011
1	0.6587132581
2	0.6433075381
3	0.6287329716
4	0.6139388709
5	0.6013651738
6	0.5896639658
7	0.5796557552
8	0.569135322
9	0.5607362176
10	0.5526359242
11	0.5454822547
12	0.5383472213
13	0.5313073446
14	0.5246552798
15	0.5182122983
16	0.5127367562
17	0.5082246549
18	0.5041453432
19	0.4996220903
20	0.4947681056
21	0.4909655607
22	0.4869705025
23	0.4838144069
24	0.4805246568
25	0.4775454799
26	0.4744985302
27	0.4713400209
28	0.4680632573
29	0.4651544507
30	0.4626860205
31	0.4604693805
32	0.4578556971
33	0.455506468
34	0.4534952671
35	0.4516488271
36	0.4500659608
37	0.4480790347
38	0.4462840396
39	0.4449445967
40	0.4432895824
41	0.4419424341
42	0.4405269645
43	0.4393200867
44	0.4382468243
45	0.4371811572
46	0.435716117
47	0.4346263135
48	0.4335056393
49	0.4324484234
50	0.4314424029
51	0.4304266079
52	0.4297540429
53	0.4290610548
54	0.4278086303
55	0.4269209721
56	0.4259043719
57	0.4252136055
58	0.4244886425
59	0.4238602758
60	0.423339209
61	0.4226593879
62	0.4218767676
63	0.4210744535
64	0.4204369601
65	0.4198620515
66	0.41914229
67	0.418500702
68	0.4180347091
69	0.4172669593
70	0.4164774995
71	0.4161164932
72	0.4157240581
73	0.4153210289
74	0.4147154441
75	0.414286102
76	0.4138360699
77	0.4135403406
78	0.4132549469
79	0.4129564154
80	0.4125769607
81	0.4121503406
82	0.4117815052
83	0.4114157242
84	0.4107419703
85	0.4101788377
86	0.4097800418
87	0.4093284416
88	0.4090395875
89	0.408633721
90	0.4082396272
91	0.4079257703
92	0.4073624858
93	0.4070748615
94	0.4068064235
95	0.4066121879
96	0.406256377
97	0.4059273602
98	0.405412807
99	0.4051321714
100	0.4047896094
101	0.4045564507
102	0.4041831089
103	0.403913758
104	0.4035835792
105	0.4032751622
106	0.4029671344
107	0.4027153994
108	0.4024892676
109	0.4022437217
110	0.4018845433
111	0.4015451557
112	0.4012381534
113	0.4009072458
114	0.400653297
115	0.4004539955
116	0.4000989868
117	0.3997283569
118	0.399542202
119	0.3992488128
120	0.3988282854
121	0.3985585252
122	0.3982752534
123	0.3980011211
124	0.3976837846
125	0.3974865852
126	0.3972908457
127	0.397013323
128	0.3968449676
129	0.3966268369
130	0.3964131792
131	0.3962583003
132	0.3961363071
133	0.3959226329
134	0.3958286564
135	0.3954992628
136	0.3953158627
137	0.3950777081
138	0.3948820535
139	0.3945854007
140	0.3944086122
141	0.3939842433
142	0.3938515733
143	0.3935806391
144	0.3932465899
145	0.3929543495
146	0.392776778
147	0.3926304436
148	0.3924240422
149	0.3921937873
150	0.3920170706
151	0.3918785774
152	0.3916219941
153	0.3914516732
154	0.391321874
155	0.391173355
156	0.3909471846
157	0.3907628096
158	0.3905962276
159	0.3903575507
160	0.3901222406
161	0.3898631773
162	0.3896044451
163	0.3894260517
164	0.3892117613
165	0.3890143465
166	0.3888418883
167	0.3886277995
168	0.3885295244
169	0.3883472892
170	0.3882251199
171	0.3879876345
172	0.3878473717
173	0.3877023575
174	0.3874973352
175	0.3873549944
176	0.3871419203
177	0.3869650975
178	0.3868267855
179	0.3865930328
180	0.3863747785
181	0.3861707324
182	0.3859992637
183	0.3859264635
184	0.3857208178
185	0.3855096151
186	0.3853251035
187	0.3851953906
188	0.3850568286
